Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
930, 91186, 4.40, 181.80, 3.87, 88.05
931, 91175, 4.05, 181.20, 3.85, 88.00
932, 91164, 4.85, 178.80, 3.86, 87.90
933, 91155, 5.10, 183.60, 3.84, 87.80
933, 91147, 4.30, 179.00, 3.82, 87.80
934, 91140, 4.30, 176.50, 3.79, 87.80
935, 91127, 4.90, 188.30, 3.78, 87.75
936, 91114, 4.80, 187.30, 3.78, 87.70
937, 91102, 4.80, 175.80, 3.79, 87.65
946, 91009, 5.00, 186.60, 3.71, 87.50
947, 90998, 4.75, 184.70, 3.72, 87.45
948, 90989, 4.50, 179.60, 3.71, 87.50
948, 90986, 4.20, 188.70, 3.68, 87.50
950, 90963, 4.90, 175.80, 3.71, 87.55
951, 90952, 4.55, 185.60, 3.71, 87.55
