Hr,Min,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,PAR_umolm-2s-1,Pressure_kPa,AirT_degreesC,RH_%,AccumlatedPrecip_mm
2.00000,4.00000,-0.0798105,0.850218,-3.33721,-0.225783,0.788000,95.5700,18.5100,96.0000,0.00000
2.00000,5.00000,-0.133698,0.834581,-4.13060,-0.127455,0.783000,95.5700,18.4900,96.1000,0.00000
2.00000,6.00000,-0.291151,0.855474,-3.31220,-0.150549,0.496000,95.5600,18.4700,96.2000,0.00000
2.00000,7.00000,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2.00000,8.00000,-0.297612,0.836233,-3.07621,-0.119122,0.472000,95.5600,18.4700,96.2000,0.00000
2.00000,9.00000,-0.291025,0.827547,-3.05033,-0.202135,0.499000,95.5600,18.4600,96.3000,0.00000
2.00000,10.0000,-0.314611,0.723429,-4.00346,-0.174516,0.408000,95.5700,18.4400,96.4000,0.00000
2.00000,11.0000,-0.339591,0.751383,-3.93914,-0.182369,0.332000,95.5700,18.4100,96.4000,0.00000
2.00000,12.0000,-0.365474,0.716684,-3.59014,-0.115628,0.277000,95.5700,18.3800,96.4000,0.00000
2.00000,13.0000,-0.367562,0.784281,-5.17985,-0.158644,0.252000,95.5700,18.3800,96.4000,0.00000
2.00000,14.0000,-0.437603,0.814521,-5.10338,-0.217770,0.229000,95.5700,18.3800,96.4000,0.00000
2.00000,15.0000,-0.382357,0.818696,-3.47714,-0.103014,0.163000,95.5700,18.3600,96.4000,0.00000
2.00000,16.0000,-0.337948,0.820958,-2.89848,-0.0914264,0.191000,95.5700,18.3500,96.3000,0.00000
2.00000,17.0000,-0.269826,0.877135,-3.08084,-0.0552370,0.250000,95.5700,18.3600,96.3000,0.00000
2.00000,18.0000,-0.235998,0.892819,-2.81043,-0.0674599,0.308000,95.5700,18.3600,96.3000,0.00000
2.00000,19.0000,-0.217087,0.877314,-2.75875,-0.0481745,0.215000,95.5700,18.3400,96.3000,0.00000
2.00000,20.0000,-0.203955,0.912327,-2.63623,-0.00380951,0.253000,95.5700,18.3300,96.2000,0.00000
2.00000,21.0000,-0.204464,0.923137,-2.64510,-0.0284125,0.229000,95.5700,18.3300,96.1000,0.00000
2.00000,22.0000,-0.195494,0.946932,-3.33329,-0.0514279,0.198000,95.5700,18.3300,96.1000,0.00000
2.00000,23.0000,-0.272123,0.920879,-3.58658,-0.0834121,0.228000,95.5700,18.3200,96.1000,0.00000
2.00000,24.0000,-0.272164,0.936251,-3.47710,0.0196025,0.135000,95.5700,18.3000,96.1000,0.00000
2.00000,25.0000,-0.303655,0.964484,-4.84936,-0.190315,0.122000,95.5700,18.3100,96.0000,0.00000
2.00000,26.0000,-0.323075,0.948971,-5.71219,-0.134838,0.215000,95.5700,18.3000,96.1000,0.00000
2.00000,27.0000,-0.339858,0.932021,-6.23485,-0.162852,0.159000,95.5800,18.2900,96.1000,0.00000
2.00000,28.0000,-0.488600,0.955603,-13.4301,-0.369114,0.146000,95.5700,18.2800,96.1000,0.00000
2.00000,29.0000,-0.715793,0.929669,-13.3482,-0.440698,0.194000,95.5700,18.2700,96.2000,0.00000
2.00000,30.0000,-0.752264,0.890586,-12.6002,-0.456179,0.229000,95.5700,18.2500,96.2000,0.00000
2.00000,31.0000,-0.856396,0.944763,-22.0049,-0.634992,0.174000,95.5700,18.2400,96.2000,0.00000
